ID,Confidence,Explanation-List
205,0.9999996074475812,"[('resurection', -0.006472200051710165), ('loud', -0.005851569726963029), ('Peter', -0.00574254279642707), ('lightning', -0.005274106203543796), ('heaven', -0.005173514934849203), ('immediately', -0.004845364885916444)]"
165,0.9501253240501524,"[('ctron', -0.481269015764471), ('debunks', 0.033637251952634124), ('Francis', -0.029609276883943894), ('Wrong', 0.027025173447424583), ('IN', 0.023541410566586464), ('Psi', -0.022506129681015764)]"
309,0.9499227792301713,"[('Conversions', -0.07883233022063754), ('faced', -0.04471658990115232), ('fsu', -0.036978283208644734), ('Organization', -0.031535308360866696), ('interview', -0.029835764802753857), ('diminished', -0.02977219475408828)]"
548,0.947036199651961,"[('mangoe', 0.06949663293979155), ('tove', 0.06380478184120855), ('lous', 0.06047894415892509), ('marv', 0.0599581929762891), ('Wingate', 0.05953654834491873), ('sod', 0.05500503596720898)]"
234,0.9313821629681113,"[('formerly', -0.04985935987287529), ('Stanley', -0.03873797888727816), ('verify', -0.037769038536560245), ('predicts', -0.03751253453490179), ('restricted', -0.03711654196013335), ('Organization', -0.03684032154752451)]"
43,0.9289098235457477,"[('Astrophysics', -0.11287448494389989), ('wustl', -0.07002970715262663), ('Oser', -0.06490020923654931), ('oser', -0.05884014211135242), ('fermi', -0.057680369738887474), ('Host', 0.04037643153932112)]"
153,0.9097972691418985,"[('Alan', -0.09007414491987248), ('Love', -0.04654065215525083), ('voices', -0.043375062115255915), ('rock', -0.029623229118695645), ('York', -0.02901762656369574), ('fidonet', -0.027958804371591633)]"
121,0.887391893218002,"[('ocis', -0.19381845577693796), ('astro', -0.19269177434448945), ('Carl', -0.16059988521124494), ('stamp', 0.07515718170999482), ('Newsreader', 0.05522620294309419), ('Posting', 0.05293926110279487)]"
42,0.8773673612834127,"[('influenced', -0.0670106751615713), ('fill', -0.051783974666756424), ('survey', -0.044298891062453466), ('Thanks', -0.040197855444297194), ('Several', -0.03961014474232906), ('Organization', -0.038932025325995295)]"
288,0.8713297232624009,"[('ocis', -0.19777671180760523), ('astro', -0.1951904528594725), ('Carl', -0.15947011937827602), ('Newsreader', 0.060137530490226195), ('Posting', 0.05417907774794929), ('knocked', 0.050569520756245497)]"
