Word,Count,Weight
Organization,15,0.8280753925960128
Posting,7,0.5159215514605617
Newsreader,6,0.4559596412238453
Host,6,0.43519595626081864
Carl,5,0.8210776068417253
sincere,4,0.31559737427667284
astro,3,0.5773354958154583
ocis,3,0.5762458958412957
Alan,3,0.3986617390105828
Asimov,3,0.34148334858687157
fsu,3,0.11968392448813828
Conversions,2,0.2188885706042755
beast,2,0.19857918824268073
refuses,2,0.1621529648311208
warns,2,0.14855334701601153
TIN,2,0.13017784748808126
loud,2,0.12914915644401664
stamp,2,0.12830173921534646
sinners,2,0.11825135574456004
voices,2,0.11813036600408602
survey,2,0.11716959926175231
Olsen,2,0.09774455638661297
Peter,2,0.05592321597385759
ctron,1,0.481269015764471
Tribulation,1,0.29914375647288366
agonizing,1,0.2826031764540119
Antichrist,1,0.2562600903174192
Return,1,0.2506987396956963
Path,1,0.22087200532127835
Freemasonry,1,0.22011830639238603
hadith,1,0.20586857207618864
expertise,1,0.20123664269980818
carpenter,1,0.19428560507493198
Quoting,1,0.19254674780554146
discussion,1,0.18029723413256804
output,1,0.1728962046940998
Scouts,1,0.164537657789914
Boy,1,0.15044928006859562
feedback,1,0.13529425720473195
Qur,1,0.13390221915535166
Julian,1,0.13305968063414103
Rabbi,1,0.1274411554898867
Todd,1,0.12686887865023813
math,1,0.12600861088525214
creationists,1,0.12349105803186551
scriptures,1,0.11861378389695473
YOU,1,0.11813228817821661
Knowledge,1,0.11666389567282262
Rashid,1,0.11349588501486865
Astrophysics,1,0.11287448494389989
UNLIKE,1,0.11104021421108917
constructive,1,0.1102867538654483
Daniel,1,0.10686029244550226
Supercomputer,1,0.1030646308418708
Page,1,0.10258374364649334
Caused,1,0.10058176736977706
fly,1,0.10034398555712819
Computations,1,0.09962587172717857
newton,1,0.09867967616096543
cbnewsj,1,0.09722084799504488
agnostics,1,0.09645611688108255
Tourist,1,0.09604908112225027
llnl,1,0.09501863961309626
kaflowitz,1,0.09459302720140063
Revelation,1,0.09456306866123632
Warning,1,0.09248373659280999
LaTech,1,0.09072547118524636
cornell,1,0.0869347946932217
realised,1,0.0860203694318318
equality,1,0.08587505012421227
Russell,1,0.08453080526999718
indiana,1,0.08398278033356384
10th,1,0.08328518583884756
particle,1,0.083212893245194
omnipresent,1,0.08233677776579514
hole,1,0.0821780582038981
smug,1,0.08066170675404183
Genocide,1,0.07969307933310253
disguise,1,0.07956882252166438
NNTP,1,0.07896112806334073
Comp,1,0.07851328921318175
gravity,1,0.0782447269668254
lemur,1,0.07738693027045
Davis,1,0.0739428086558447
Florida,1,0.07332572891030868
orst,1,0.07254503259318282
Scout,1,0.07093953325693321
wustl,1,0.07002970715262663
Ministry,1,0.0697459760163156
Bertrand,1,0.06958952092676395
mangoe,1,0.06949663293979155
research,1,0.06794693511360078
influenced,1,0.0670106751615713
PL9,1,0.06662178003898542
Oser,1,0.06490020923654931
uxa,1,0.06481812857259817
attitude,1,0.06446957259813377
ol,1,0.06394607423179338
tove,1,0.06380478184120855
na,1,0.06318300832208756
cycle,1,0.06288061925443666
Nntp,1,0.060884469286018504
lous,1,0.06047894415892509
fashioned,1,0.060360741360064175
marv,1,0.0599581929762891
Wingate,1,0.05953654834491873
oser,1,0.05884014211135242
Yet,1,0.058501948459936705
fermi,1,0.057680369738887474
Schnitzius,1,0.0567824615953936
IASTATE,1,0.05575558664778082
sod,1,0.05500503596720898
Romans,1,0.0548194806539596
thank,1,0.05448981062003532
cattle,1,0.05318934130444002
Gotta,1,0.05226609373711773
fill,1,0.051783974666756424
spacsun,1,0.05177117940139925
engr,1,0.0517187989312467
knocked,1,0.050569520756245497
formerly,1,0.04985935987287529
Waco,1,0.04953303218086511
Steve,1,0.04944118074114582
highest,1,0.04940846668214601
Me,1,0.049006873340706976
hebrews,1,0.04724697728933967
Love,1,0.04654065215525083
romans,1,0.04540358832488174
faced,1,0.04471658990115232
conjunction,1,0.04350368281419788
Bill,1,0.04332180494561348
jews,1,0.04195249653544074
Thanks,1,0.040197855444297194
battling,1,0.039878360363414474
Several,1,0.03961014474232906
spat,1,0.03937649855979744
air,1,0.039259533669586524
NAME,1,0.038807734025118015
Stanley,1,0.03873797888727816
request,1,0.038544016790835085
verify,1,0.037769038536560245
meet,1,0.03755065555990778
predicts,1,0.03751253453490179
restricted,1,0.03711654196013335
Seems,1,0.035130546883947254
debunks,1,0.033637251952634124
Adelaide,1,0.03229145214992732
William,1,0.03161201972401361
interview,1,0.029835764802753857
diminished,1,0.02977219475408828
rock,1,0.029623229118695645
Francis,1,0.029609276883943894
York,1,0.02901762656369574
Morality,1,0.028787114386003225
fidonet,1,0.027958804371591633
Wrong,1,0.027025173447424583
IN,1,0.023541410566586464
Psi,1,0.022506129681015764
pepke,1,0.02210506771443861
resurection,1,0.006472200051710165
lightning,1,0.005274106203543796
heaven,1,0.005173514934849203
immediately,1,0.004845364885916444
